[2026-04-17 18:43:07,196] 13 root - INFO - Initiate data ingestion
[2026-04-17 18:43:09,213] 55 root - INFO - Performed train test split on the data
[2026-04-17 18:43:09,214] 58 root - INFO - Exporting Train and test file path
[2026-04-17 18:43:09,266] 67 root - INFO - Exported train and test file path
[2026-04-17 18:43:09,266] 18 root - INFO - Data Ingestion Completed
[2026-04-17 18:43:09,273] 22 root - INFO - Initiated Data Validation
[2026-04-17 18:43:09,307] 37 root - INFO - Required number of columns = 2
[2026-04-17 18:43:09,307] 38 root - INFO - Data frame has columns: 31
[2026-04-17 18:43:09,317] 37 root - INFO - Required number of columns = 2
[2026-04-17 18:43:09,317] 38 root - INFO - Data frame has columns: 31
[2026-04-17 18:43:09,463] 24 root - INFO - Data Validation Completed
[2026-04-17 18:43:09,463] 26 root - INFO - Initiated Data Transformation
[2026-04-17 18:43:09,463] 48 root - INFO - Data transformation initiated
[2026-04-17 18:43:09,480] 37 root - INFO - Entered get_data_transformer_obj method
[2026-04-17 18:43:09,482] 39 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-17 18:43:09,492] 52 root - INFO - Entered the save_object method of utils.py
[2026-04-17 18:43:09,494] 57 root - INFO - Exited the save_object method
[2026-04-17 18:43:09,495] 30 root - INFO - Data Transformation Complete
[2026-04-17 18:43:09,496] 33 root - INFO - Initiated Model Traineing
[2026-04-17 18:44:09,012] 52 root - INFO - Entered the save_object method of utils.py
[2026-04-17 18:44:09,051] 57 root - INFO - Exited the save_object method
[2026-04-17 18:44:09,051] 117 root - INFO - Model trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_17_2026_18_43_06\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991359154213683, precision_score=0.9884451652138658, recall_score=0.9942903752039152), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9738924050632911, precision_score=0.9654901960784313, recall_score=0.9824421388667198))
[2026-04-17 18:44:09,054] 37 root - INFO - Model Training Complete
